"politician_name";"party_name_short";"party_name";"lrgen";"lrecon";"galtan"
"segers";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"peters";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"pvv er markuszower";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"pvda-kamerlid piri";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"vvd-kamerlid valstar";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"sp'er van dijk";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"strik";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"azmani";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"lenaers";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"van nispen";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"pvda-kamerlid mutluer";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"vvd-kamerlid ellian";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"koekkoek";"Volt";"Volt Nederland";4.5454545;4.6999998;1.0909091
"simone meijnen";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"cda-kamerlid van den brink";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"sophie";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"van dijk";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"buigel";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"nanninga";"JA21";"Juiste Antwoord21";9.833333;8.8;9.833333
"podt";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"pvv-kamerlid markuszower";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"sp-kamerlid futselaar";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"";"JA21";"Juiste Antwoord21";9.833333;8.8;9.833333
"heerma";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"gerritsen";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"cda'er peters";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"vvd-kamerlid aartsen";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"d66-kamerlid podt";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"kok";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"kok";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"";"FvD";"Forum voor Democratie";9.833333;8.8000002;9.833333
"thijs reuten";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"bart van den brink";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"dijkgraaf";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"";"Volt";"Volt Nederland";4.5454545;4.6999998;1.0909091
"";"50PLUS";"50PLUS";"";"";""
"";"PvdD";"Partij voor de Dieren";1.5;2.2727273;2.25
"haars";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"lubbers";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"marijke gemser";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"bas de ruig";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"paul coenegracht";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"jordy drieman";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"";"DENK";"Beweging DENK";3.8888888;3.5999999;6.2857141
"";"BIJ1";"BIJ1";1.5;2.272727;2.25
"d66-kamerlid belhaj";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"sp-kamerlid leijten";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"groenlinks-kamerlid van der lee";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"roemer";"SP";"Socialistiese Partij";1.1666666;1.3333334;4.6666665
"ursula bekhuis";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"klaas buigel";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"peter snijders";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"van den burg";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
